snippet_text,topic_label
How do you test Flink jobs? Unit/integration tests with MiniCluster or TestHarness.,machine_learning_basics
"What’s the difference between accuracy and loss? Loss quantifies error, accuracy measures correctness; you can have low loss but not perfect accuracy",machine_learning_basics
What is gap statistic? Gap between WCSS and null reference.  ,machine_learning_basics
What is OOV problem in embeddings? Unknown word handling.  ,machine_learning_basics
"Why does PoS provide faster finality than PoW? Validators vote on finality directly, not just chain length.",machine_learning_basics
What is TF-IDF? Weights words by importance.  ,machine_learning_basics
What is custom op in TensorFlow? Custom C++/CUDA operations.  ,machine_learning_basics
What is stemming? PorterStemmer or LancasterStemmer.,machine_learning_basics
"Devise a hyperparameter search that mixes Bayesian/global + local fine-tuning (within sklearn APIs). Combine HalvingGridSearchCV for coarse search, then local Grid around the incumbent’s neighborhood; ",machine_learning_basics
How to lock down file system access in hosted Jupyter? Run as unprivileged users; filesystem whitelists; container sandbox.,machine_learning_basics
What is a Db2 instance (LUW)? A runtime environment containing configuration and services that manage one or more databases.,databases_sql
"How do you secure per-user documents in Security Rules? Match on request.auth.uid and resource data (e.g., allow if resource.data.ownerId == request.auth.ui",databases_sql
"What is information_schema? System metadata about databases, tables, columns, constraints, and more.",databases_sql
"Is Snowflake a SaaS, PaaS, or IaaS? It is a SaaS (Software as a Service) platform.",databases_sql
"How do you diagnose and remediate widespread read-timeout storms in Cassandra? Check replica latencies, compaction backlog, GC pauses, cache hit rates, and network; use tracing an",databases_sql
"Which stats commands help you diagnose evictions and hit ratio issues? stats evictions, stats, stats items/slabs, hit/miss ratios, and evictions per slab.",databases_sql
What are LBAC (Label-Based Access Control) use cases for advanced security? Classify data with labels (secrecy/integrity) and enforce access via policies mapped to users/roles.,databases_sql
"What causes 'Spool space exceeded' errors? Skewed joins, lack of stats, excessive redistributions, big intermediate result sets.",databases_sql
Explain VARIANT vs OBJECT vs ARRAY. VARIANT stores any JSON-like value; OBJECT = key-value map; ARRAY = list of values.,databases_sql
"Does Snowflake support JSON? Yes, via VARIANT data type.",databases_sql
How do you create a combo box? Add control in form design and set Row Source to a table/query; bind to a foreign key field.,databases_sql
"Explain the difference between stream and task. Stream tracks data changes; task executes logic, often using stream.",databases_sql
"How do you design and tune fact tables for time-series workloads in Teradata? PPI by time bucket, columnar compression, AJI for common aggregates, and co-location with dimension ",databases_sql
What is a counter table? A table containing counter columns that support increment/decrement semantics; requires special rule,databases_sql
How do you do complex authorization (RBAC/ABAC) in rules at scale? Encode roles/attributes in custom claims or doc fields and reference them in rules with granular che,databases_sql
"How would you implement rate limits and quotas per tenant inside the DB? Track writes per tenant, enforce with triggers/policies or connection pool quotas; log and reject ov",databases_sql
"How would you diagnose and fix slow queries in production MongoDB clusters? Use profiler, slow query logs, explain with executionStats, index stats (collStats/indexStats), and ",databases_sql
"How do you avoid hotspots when writing many docs quickly? Distribute keys (e.g., random prefixes, time buckets) so writes spread across index shards.",databases_sql
"How would you design aggregate refresh processes using an Aggregate Join Index (AJI)? Pick stable groupings, ensure base changes are manageable, and monitor AJI maintenance overhead vs q",databases_sql
What are table properties in Hive? Set parameters to describe table behavior.,databases_sql
"How do you move a PDB between servers? Unplug/plug PDB with XML manifest and datafiles, or use RMAN/transportable tech.",databases_sql
What is $merge? Aggregation stage to write pipeline results to a collection (insert/update/replace conditions).,databases_sql
What is a maintenance plan vs custom scripts? Maintenance plans are GUI‑driven tasks; custom scripts offer finer control and are common in product,databases_sql
"How do you handle GDPR/CCPA data deletion requests across Firebase services? Centralize deletion workflows, propagate to Firestore/Storage/Auth/Analytics exports, and verify wit",databases_sql
How do you keep secrets and API keys safe in Firebase projects? Store secrets in environment configs/Secret Manager; never ship them in client apps or public repos.,databases_sql
"What is the difference between logical and physical addresses? Logical is generated by CPU (virtual), physical is the actual location in memory.",system_design
What is “RetrievalQAWithSourcesChain”? Returns both answers and document sources,system_design
What is the “RetrievalQA” chain? Combines document retrieval with question answering,system_design
"How does paging differ from segmentation? Paging divides memory into fixed-size blocks, segmentation divides into logical variable-sized units",system_design
"What is multi-behavior modeling? Use different interaction types (views, clicks, buys) jointly for training",system_design
How does retrieval latency affect generation? Delays overall response time,system_design
What is a system call? A way for a program to request services from the OS kernel.,system_design
How can attention help session-based recommenders? By focusing on important past items in session,system_design
What is a process? A program in execution with its own memory space and resources.,system_design
Why is elevator algorithm used in disk scheduling? To minimize seek time by servicing requests in a sorted sequence.,system_design
"What is the difference between multitasking and multiprogramming? Multitasking gives time-sharing among tasks, multiprogramming keeps multiple jobs in memory.",system_design
What is TLB (Translation Lookaside Buffer)? A cache of recent page table entries to accelerate address translation.,system_design
What is MAP in recommender evaluation? Mean Average Precision across queries/users,system_design
What is aging (in scheduling)? Increasing priority of waiting processes over time to prevent starvation.,system_design
"How do you handle cold start for new users? Use profile info, onboarding questions, or popularity",system_design
What is meta-learning for cold-start recommendations? Learn quick adaptation to new users/items from few samples,system_design
How does the OS handle memory-mapped files? By mapping file contents directly into virtual address space of processes.,system_design
"How to debug production recommendation errors? Trace logs, replay offline, and inspect feature distributions",system_design
What are kernel modules? Code that can be loaded or unloaded into kernel at runtime to extend functionality without reboot.,system_design
What is negative sampling? Selecting non-interacted items as implicit negatives,system_design
"Name some CPU scheduling algorithms. FCFS, SJF, Round Robin, Priority Scheduling.",system_design
How to incorporate graph neural networks in recommenders? Model user-item interactions and relations with GNNs,system_design
What is similarity in recommendations? Measure of closeness between users or items,system_design
What does OS stand for? OS stands for Operating System.,system_design
How does the OS ensure atomicity in signal handling? By blocking signals or using masks during critical sections.,system_design
Mock question about behavioral 4? Mock answer 4,behavioral
Mock question about behavioral 4? Mock answer 4,behavioral
Mock question about behavioral 6? Mock answer 6,behavioral
Mock question about behavioral 6? Mock answer 6,behavioral
Mock question about behavioral 3? Mock answer 3,behavioral
Mock question about behavioral 4? Mock answer 4,behavioral
Mock question about behavioral 5? Mock answer 5,behavioral
Mock question about behavioral 1? Mock answer 1,behavioral
Mock question about behavioral 1? Mock answer 1,behavioral
Mock question about behavioral 1? Mock answer 1,behavioral
Mock question about behavioral 5? Mock answer 5,behavioral
Mock question about behavioral 5? Mock answer 5,behavioral
Mock question about behavioral 6? Mock answer 6,behavioral
Mock question about behavioral 2? Mock answer 2,behavioral
Mock question about behavioral 6? Mock answer 6,behavioral
Mock question about behavioral 5? Mock answer 5,behavioral
Mock question about behavioral 2? Mock answer 2,behavioral
Mock question about behavioral 3? Mock answer 3,behavioral
Mock question about behavioral 2? Mock answer 2,behavioral
Mock question about behavioral 4? Mock answer 4,behavioral
Mock question about behavioral 4? Mock answer 4,behavioral
Mock question about behavioral 3? Mock answer 3,behavioral
Mock question about behavioral 1? Mock answer 1,behavioral
Mock question about behavioral 6? Mock answer 6,behavioral
Mock question about behavioral 3? Mock answer 3,behavioral
